Fecha de suscripción,Nombre del Producto,Moneda,Cantidad,Tipo,De,Estado
25-09-15 07:50:52,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-14 08:46:24,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-14 08:18:41,USDC,USDC,0.02250581,Auto,SPOT,Success
25-09-14 07:46:56,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-13 08:48:52,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-13 08:20:29,USDC,USDC,0.02250145,Auto,SPOT,Success
25-09-13 07:47:39,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-12 08:30:31,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-12 08:04:54,USDC,USDC,0.02249715,Auto,SPOT,Success
25-09-12 07:34:46,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-11 08:31:11,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-11 08:05:27,USDC,USDC,0.02248929,Auto,SPOT,Success
25-09-11 07:34:38,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-10 08:34:19,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-10 08:08:15,USDC,USDC,0.05620915,Auto,SPOT,Success
25-09-10 07:36:39,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-09 08:36:15,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-09 08:09:56,USDC,USDC,0.05619096,Auto,SPOT,Success
25-09-09 07:38:35,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-08 08:35:24,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-08 08:09:33,USDC,USDC,0.05617277,Auto,SPOT,Success
25-09-08 07:37:40,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-07 08:30:12,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-07 08:04:55,USDC,USDC,0.05615459,Auto,SPOT,Success
25-09-07 07:33:32,BTC,BTC,0.00000006,Auto,SPOT,Success
