"date(UTC+0)","executed_qty","amount","price","side","symbol","fee","fee_coin","market_type","tax_id"
"2025-06-27 23:35:05","0.00200000000000000000","214.02016000000000000000","107010.08000000","SELL","BTC_USDT_PERP","0.04280400","USDT","Futures USDT","s_63"
"2025-06-28 01:45:38","0.01720000000000000000","41.70279750000000000000","2424.58125000","BUY","ETH_USDT","0.00000864","ETH","Spot","s_62"
"2025-06-28 12:22:53","0.00290000000000000000","310.98759000000000000000","107237.10000000","SELL","BTC_USDT_PERP","0.15549380","USDT","Futures USDT","s_63"
"2025-06-28 12:24:31","0.00390000000000000000","417.23143000000000000000","106982.41794872","BUY","BTC_USDT_PERP","0.17674265","USDT","Futures USDT","s_64"
"2025-06-28 20:00:33","0.01290000000000000000","31.37142400000000000000","2431.89333333","SELL","ETH_USDT","0.01568572","USDT","Spot","s_62"
"2025-06-28 20:15:26","0.00070000000000000000","75.51433000000000000000","107877.61428571","SELL","BTC_USDT_PERP","0.01510287","USDT","Futures USDT","s_64"
"2025-06-29 00:28:05","0.00120000000000000000","129.12079000000000000000","107600.65833333","BUY","BTC_USDT_PERP","0.02582417","USDT","Futures USDT","s_64"
"2025-06-29 07:26:34","0.04730000000000000000","116.46550000000000000000","2462.27272727","BUY","ETH_USDT","0.00002376","ETH","Spot","s_62"
"2025-06-29 19:41:25","0.00070000000000000000","75.49010000000000000000","107843.00000000","SELL","BTC_USDT_PERP","0.01509802","USDT","Futures USDT","s_64"
"2025-06-29 23:35:33","0.03225000000000000000","79.63202250000000000000","2469.21000000","SELL","ETH_USDT","0.03981601","USDT","Spot","s_62"
"2025-06-30 00:08:10","0.05594000000000000000","138.64684380000000000000","2478.49202360","BUY","ETH_USDT","0.00002810","ETH","Spot","s_62"
"2025-06-30 00:24:44","0.00110000000000000000","118.04568000000000000000","107314.25454545","BUY","BTC_USDT_PERP","0.02360914","USDT","Futures USDT","s_64"
"2025-06-30 21:52:01","0.05805000000000000000","144.38664700000000000000","2487.28074074","SELL","ETH_USDT","0.07219334","USDT","Spot","s_62"
"2025-06-30 21:57:23","0.00140000000000000000","150.54400000000000000000","107531.42857143","SELL","BTC_USDT_PERP","0.03010880","USDT","Futures USDT","s_64"
"2025-07-01 00:16:44","0.00180000000000000000","191.16085000000000000000","106200.47222222","BUY","BTC_USDT_PERP","0.03823219","USDT","Futures USDT","s_64"
"2025-07-01 00:45:33","0.03440000000000000000","83.56731800000000000000","2429.28250000","BUY","ETH_USDT","0.00001728","ETH","Spot","s_62"
"2025-07-01 14:30:07","0.20500000000000000000","497.51863000000000000000","2426.92014634","SELL","ETH_USDT_PERP","0.24875932","USDT","Futures USDT","s_66"
"2025-07-01 14:33:36","0.20500000000000000000","497.31155000000000000000","2425.91000000","BUY","ETH_USDT_PERP","0.24865578","USDT","Futures USDT","s_66"
"2025-07-01 20:00:22","0.00600000000000000000","14.41824000000000000000","2403.04000000","SELL","ETH_USDT_PERP","0.00720912","USDT","Futures USDT","s_69"
"2025-07-01 20:00:57","0.00600000000000000000","14.38206000000000000000","2397.01000000","BUY","ETH_USDT_PERP","0.00719103","USDT","Futures USDT","s_69"
"2025-07-01 23:05:02","0.00250000000000000000","266.06932000000000000000","106427.72800000","SELL","BTC_USDT_PERP","0.05321390","USDT","Futures USDT","s_64"
"2025-07-01 23:11:35","0.05805000000000000000","141.76412000000000000000","2442.10370370","SELL","ETH_USDT","0.07088208","USDT","Spot","s_62"
"2025-07-02 00:01:04","0.00050000000000000000","53.53376000000000000000","107067.52000000","BUY","BTC_USDT_PERP","0.01070675","USDT","Futures USDT","s_64"
"2025-07-02 00:07:10","0.05380000000000000000","136.47308500000000000000","2536.67444238","BUY","ETH_USDT","0.00002703","ETH","Spot","s_62"
"2025-07-02 07:00:17","0.00600000000000000000","14.70570000000000000000","2450.95000000","BUY","ETH_USDT_PERP","0.00735285","USDT","Futures USDT","s_69"
"2025-07-02 07:00:30","0.00600000000000000000","14.70396000000000000000","2450.66000000","SELL","ETH_USDT_PERP","0.00735198","USDT","Futures USDT","s_69"
"2025-07-02 15:05:43","0.00320000000000000000","345.44903000000000000000","107952.82187500","SELL","BTC_USDT_PERP","0.15346544","USDT","Futures USDT","s_64"
"2025-07-02 15:07:29","0.09300000000000000000","229.83654000000000000000","2471.36064516","BUY","ETH_USDT_PERP","0.11043431","USDT","Futures USDT","s_70"
"2025-07-02 15:08:29","0.00290000000000000000","313.75999000000000000000","108193.10000000","BUY","BTC_USDT_PERP","0.15688000","USDT","Futures USDT","s_71"
"2025-07-02 15:34:10","0.09300000000000000000","231.48990000000000000000","2489.13870968","SELL","ETH_USDT_PERP","0.10454760","USDT","Futures USDT","s_70"
"2025-07-02 16:06:00","0.00290000000000000000","316.37017000000000000000","109093.16206897","SELL","BTC_USDT_PERP","0.14839379","USDT","Futures USDT","s_71"
"2025-07-02 16:15:44","0.00400000000000000000","437.11440000000000000000","109278.60000000","BUY","BTC_USDT_PERP","0.18583590","USDT","Futures USDT","s_72"
"2025-07-02 16:16:10","0.09300000000000000000","236.31063000000000000000","2540.97451613","BUY","ETH_USDT_PERP","0.11359110","USDT","Futures USDT","s_73"
"2025-07-02 16:49:39","0.09300000000000000000","237.74481000000000000000","2556.39580645","SELL","ETH_USDT_PERP","0.10510756","USDT","Futures USDT","s_73"
"2025-07-02 17:07:00","0.09000000000000000000","230.24610000000000000000","2558.29000000","BUY","ETH_USDT_PERP","0.11512305","USDT","Futures USDT","s_74"
