"position_id","symbol","position_side","open_time","close_time","pnl","fee","funding_fee"
"42975442786934_76_ETH_USDT_PERP_L_45550866578","ETH_USDT_PERP","long","2025-07-02 19:50:50","2025-07-02 19:51:09","0.006950000000000000","-0.0129159750","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45550891697","ETH_USDT_PERP","long","2025-07-02 19:51:13","2025-07-02 19:51:34","0.005800000000000000","-0.0129236500","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45550924771","ETH_USDT_PERP","long","2025-07-02 19:51:37","2025-07-02 19:54:01","0.008600000000000000","-0.0129283500","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45551046518","ETH_USDT_PERP","long","2025-07-02 19:54:05","2025-07-02 19:56:37","0.042650000000000000","-0.0129524250","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45551228573","ETH_USDT_PERP","long","2025-07-02 19:56:41","2025-07-02 19:56:48","0.000850000000000000","-0.0129733250","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45551246991","ETH_USDT_PERP","long","2025-07-02 19:56:52","2025-07-02 19:56:59","0.000650000000000000","-0.0129737250","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45551262490","ETH_USDT_PERP","long","2025-07-02 19:57:03","2025-07-02 19:57:07","0.005150000000000000","-0.0129825750","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45551275187","ETH_USDT_PERP","long","2025-07-02 19:57:11","2025-07-02 19:57:20","0.003500000000000000","-0.0129850500","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45551297808","ETH_USDT_PERP","long","2025-07-02 19:57:23","2025-07-02 19:57:31","-0.008250000000000000","-0.0129891750","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45551313084","ETH_USDT_PERP","long","2025-07-02 19:57:34","2025-07-02 19:58:15","0.002850000000000000","-0.0129874250","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45551370075","ETH_USDT_PERP","long","2025-07-02 19:58:19","2025-07-02 19:59:05","0.022600000000000000","-0.0129981000","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45551463530","ETH_USDT_PERP","long","2025-07-02 19:59:09","2025-07-02 20:57:05","-0.059850000000000000","-0.0129886250","0.0000000000"
